leader,epoch,num_slots
Gdo6FaCtTQqGYsmDQrX2icSZeqDCdVizGzBDNbiqCGbJ,668,40
sce3PzrJU8j5Qa7WtRejXq7hFywUBh8jutVx929Hagw,668,40
3fpcsJ2WPdrmpjVVA5Lmv4m9Qx5xqND1xJhFprDSjWJ4,668,1168
86ajwRu4xCfhM5ALAaHJqn1RVZLaQapDkGcnuufyw6Ub,668,180
ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,668,76
SQDS9iwyWvT2mQbSZzuNKGoxuBug5jRHouF6SuMRBkA,668,108
CTXhU887XFTPk7HQdVQ9DVyEoa5iqwmU2kunFiaFv7aY,668,36
9ixkRQFUmQfDfJ9sBzJMs8QeBpqz4AeR94n623eaYK2S,668,28
EtoMApqP2h1vVm9XLTTp5HERNezm5btkqrdAGQ9fZRnp,668,16
ADSwEkycEaUavU7f9YEM3GLMnqsSHky7wBSrZmz9dnkX,668,36
HcZr843v6BmJ9o3b59K8DYkMMHBgdmjosFqovwuekjnX,668,44
HUcasdKeLaC1GMYVKpQrSuJSJUAaZxyVe8zY1NoAb7xg,668,200
s2Meqg3YnYVZBLSAvXhLCttifWyppoPh3W6Meqz3J3v,668,24
9skzpyERtgt8MXN8rXbWvtbHgYARJxsKXKzce6QxDcA9,668,32
2EqJXwoMuMhfbeoZsCFFhUnP5vBEtND3ykJeHU5sTPCo,668,84
SLNDCSGTEsA6KHpgR32MBt9UAurZnVSJGUtW2tRpdU2,668,280
6K2KMQF6LUYB8XEgqUpWLBrKdBPweWn1EWTTuZxaLghZ,668,52
Stakex4B2tpDHPWGvV1dninfiaYCGdakgTknpzPitLh,668,244
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,668,44
9dH6wfdJVgnDcbCUjT8rkmejAzTnGQaFarmLfvBYXANK,668,44
8aySXUFrqJz5kath6aVijrkBH8ZtxMWJGhYXwYBpKmHK,668,276
DBKSEwzFx3i64censdCm7v95Ujp2sFfMtksBACkET2Kh,668,40
EVvkB3QgKsHZ2Tj9GTnQ8mQZJUFmRTkH31g9KEmQ8A62,668,32
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,668,188
FZrSKKsKfZJovcQWRQFDXz8DbHKCSRZLZqbBAGd1dG57,668,104
9jnYKtJoHKsR5XudQnvR9cXTxeorQf8C1wqZvU79govG,668,60
KBoNKoxPjdEmR4TrV9wH9wi96x9vSAs9NET94h91SGJ,668,124
3KW9MzaoUrqXymwZKMph4kPaJ37JfCfw8LxsZnHnCBGS,668,80
mds3Qp5MTDH4c1RffXXUztY75n3zh3vnbDqbBizhTTj,668,28
9cDdzkrimGrsNVKKRtN2Q1ydBwDxjDtPGyyLRgnUYyAQ,668,60
zeiUD366nfvMkbMn78QzyhWs927JASUb8ftaCNEyjCH,668,32
2xKfuXN8HqaEi5L6Dwy2qZ3a5AJPM2hmZ88ZhgZgscom,668,40
AmhQFcGvH2hjkucP78rn6GMKSbstYwyFpCDVKZUwBGrG,668,76
DjrYZ1dwyhSN5u2A346piLvCVQwbpJ7iui7YCDDCftPi,668,52
6kEtLATdCXttEJs9iXj8DfFsWYjQ6uUysN8KWxshJKLu,668,56
2nUejUPz8nXuYsa2mqDJmdjmyCb81KcLrQ9QNfzTNJGk,668,240
43t4YbjyH2XCnifhBibxhzQEpcLrk7PFS9719DHMSFfA,668,160
A963nwma1r6tr6VgASiHgj9VKmvXvbFeZHoMW6XT1aiQ,668,48
8S1VXBgZvCsjgnRAMvxknx5BKT7APb8rFhyRVeeTx1SS,668,32
AhyLPwqeE8zg7fyFjuufH8k7Kq4kNS2eARRq5EKNGRcT,668,24
Atom7LRkdXj6MBoWJPgjaetrCMrgB9nnkQBYXTWE8Z3S,668,888
9Hzxq2BnACf7AJbLUBpuyRgtZtuJwFvNYAeah1x6iYcS,668,48
9ppJrpsbbuGNjiMhhD52Ueco4KXUzVfrtNQ6tAcDab4f,668,220
BJvrWSfonXnS2Km8iA9KLY6D6vS3GcsaUwUNPFBumTca,668,244
7pR7t5axFfkg2VZB1uAuFNUvpAeowq2v15J4gw5MmHTB,668,112
8hTi1gRAogrsk5uZustzkFb1SKgpzxLhfYWTJ5xBV4Ww,668,176
Fumin2Kx6BjkbUGMi4E7ZkRQg4KmgDv2j5xJBi98nUAD,668,44
9aUUBU9AQvgeL8GqSubinJWJxhcXptj3nmvhVEAme4HT,668,24
KTMkUG8WCw9FdH44jLMBpc1teGafnYL6SgP4fHHbsNM,668,36
narPxmKTwkUxvcXhueccHT8xbE8og2Vb7NrLBm8kcrh,668,28
4PeGtW7j4Fceg35WTXk7FLo4rE4pP8FHF2EytRezk9bY,668,36
4YGgmwyqztpJeAi3pzHQ4Gf9cWrMHCjZaWeWoCK6zz6X,668,36
CZLU7uNs1SNvmV1vodR29hwJFjQ2eVUXsQJwGt2SKVKk,668,224
EEN4pf92jyVoASZ6pQQMHcKXTF4d5T3cY1a942QhRasc,668,76
GbHe682zUScwnc3wu3o6SRGUdrBaS2mgDvEndD6Z4cis,668,48
6q4nsn4Jg5X26JzqB5xEz9BL33Aroc1YVsFCRKhm9qdd,668,32
Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,668,2952
7eexgwFKGqyTwf27YjNemrz5bRjR5RE6mLC3gnZZbM2x,668,36
49rQADJBCgYXA8sBkBthx3GFLxbtxQXhX4Z752VF6ffi,668,48
RUSHpmG4o1ydgySKRexRws7WMmu8nH5BaQgEAmwo2hK,668,344
4kL5QD8ir5CvkuvCUnQhBDuWhq3Xfnz3UfQLt4CqPQZQ,668,88
FjYEr2UCeFzNfAKiFrbhG34Zv8LxbmfHYAFhAfc7SLQL,668,128
Hk18BQcmgSasjMGhNc6X5QDGx2VjQTVMdCciU2nXAL5R,668,24
Fx67BgATzUCXtHKX9qDaGGKrANLWhLixjMuRT4dT3JKh,668,32
4Xz17Lsc6miC7UUVcfbrZhBxgjySEowyH6f8QwwVP6xw,668,40
CYPhera3uWNjrkcYe5aixQvn1SKBS6fzpv7VjJGsdYim,668,128
DqBvkYXi7HjdaKz78yakiDsaGuq1BKrQi3Z5JV6STctz,668,36
RFLCTDRBVZTEbXrCd92jnKghYeDJARb6ByK2JnPfQmH,668,48
4QNekaDqrLmUENqkVhGCJrgHziPxkX9kridbKwunx9su,668,1008
ASryt5BzW7qsYW22xT6V5Bum49J2mEzucLc9bYoWFZMp,668,44
2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,668,256
