decimals,volume24hUSD,price24hChangePercent,address,fdv,liquidity,marketcap,name,rank,price,symbol,ts,volume24hChangePercent,logoURI
6,425.04618143688145,-9.644443501420644,3YVYTFELPatt7TWhSXDTPFkVmRmVHyg7FJzQRD68oYyD,9807.082655526498,6517.953869808338,9807.082655526498,MARMETAL,975,1.626866292178312e-05,MTL,1741096802,-28.611412092483075,https://bafkreieche5cschbppeqz6blp2qgkx6chndkq4ddzg6zessdxgmtuxxeai.ipfs.nftstorage.link
6,5079.203265167938,-95.50242038243093,EbAnYvJX5FYsLAgS2J7amVb3Za4AwAnt87RGHrJRVxJk,12724.923014765049,58676.14931373981,12724.923014765049,Success Kid,974,1.2724923014765048e-05,Sammy,1741096802,,https://ipfs.io/ipfs/QmckLPm9wV7haktuCebQ2wi2D66xus38vZ9CFNSxhntQf7
6,5835.629051079388,-9.098265375344758,9qaQ3Rv2mZHDBQWdSJVvJ2goEJ47dic1iqKx8cz3pump,3872.42690089168,3872.605191345641,3872.42690089168,dweg,973,3.872426900894433e-06,dweg,1741096802,,https://ipfs.io/ipfs/QmcHKyN2wwabPs2qVjGWadYq5ci7vE1GrRkjuSUE9EXAQz
6,2946.2937425442437,-3.532034569235744,GvUC7MJhbwRDwJDFxMbsy2CmC461PVBiuhikWbKuoGyT,3849.5871353146717,3850.45301373372,3849.5871353146717,🗣️,972,3.849587135314672e-06,🗣️,1741096802,,https://ipfs.io/ipfs/QmYsK1UtedR39KnzaGuXJhkyaGFvZ9wXfZVS5BjqG4o3Rv
6,1388.3912247135922,-10.460975370060881,BH3hxtqiKaigbBEVv434yZenbpjqeEKH9REDUvxupump,3811.5523576507753,3812.6877785920187,3811.5523576507753,SPONGEBOB CRYPTOCURRENCY,971,3.8115523576507753e-06,CENT,1741096802,,https://ipfs.io/ipfs/QmbwUgkpfM3afkjAhHSbExxZG6ukzXELqPrH7gqYcwQCsT
6,2918.636289732124,-11.881631801452706,4o8jPMfTxTpRxpnvAtyvCPnXWLk1hRSD4FHfWy1Vpump,3831.291247196311,3831.365620682169,3831.291247196311,I believe in frogs,970,3.831291247196311e-06,PRIEST,1741096802,,https://ipfs.io/ipfs/QmRJEzYbX559GF5iA8BaDNeEDRYNsyXq6fU8TFe62kcQGi
9,6567.596945854778,-78.8979529113667,CHvzBeAD39f9NH6k9YuUqfcD4HW88bBFNyxkAGRTujFW,5631.27019936729,1690.8726804687553,5631.27019936729,TRNGuy,969,3.7541801329115265e-05,TRNGuy,1741096802,,https://ipfs.io/ipfs/QmdtbJ7GEw9saEsJ7YBv7VtvjPAJKojhCK1PbanJf8ouyy
9,468.9251204888871,-18.51336596151599,2jw1uFmc1hhfJH3EqGhaE2rfZMMC2YBpxkZcdUbPppMn,40408.85426496914,1907.538509040201,40408.85426496914,Vivaion,968,0.04088401733331595,VIVAION,1741096802,-57.834270163488576,https://arweave.net/Xz7ErS3TZYmBnoh3OPkIQM_O6TPotyEJb6H5WFOe_qc
6,169135.2922888145,-9.795374009866514,GckBpr55HpXYFyUfVpsttwadAGHQfCdAx1XhDFvpQfFh,2887.0159835327545,5378.868467992654,2887.0159835327545,STRATEGIC MICHIGAN RESERVE,967,2.8917803863075583e-06,SMR,1741096802,110757.54688324188,https://ipfs.io/ipfs/Qmb5jTDkK2QcAfKr617TKZ2z6Hp9UDVMps3XG59VVEreqr
6,1746.802387166937,-7.813874068564531,AbbRoeadspdSXdGUuf2Tj79cqACVrdeyWvMpHLKVpump,3784.6555674078595,3819.4786221839454,3784.6555674078595,Get Rekt or Get Rich,966,3.7846555674078593e-06,FOTPOPO,1741096802,,https://ipfs.io/ipfs/Qmf4H9Daok3rgPQyJ51rqBX4sVTbELAeh3nb73EYbnVdes
