volume24hChangePercent,logoURI,symbol,name,decimals,fdv,price,marketcap,price24hChangePercent,address,liquidity,ts,volume24hUSD,rank
,https://ipfs.io/ipfs/QmezHsutApyWL8WBghFh2wpCZv44dD2ZGFP4iJVX8LUrYq,$GG,Grok3 Gaming,6,11026.202794982499,1.1026202794982498e-05,11026.202794982499,125.40918425295405,5QUVaca5qP17K2Gjzsc2BLdRVDFEnGvrq8Uavofpump,4881.38273482823,1740405602,10157.182626008793,974
77.02114378839599,https://ipfs.io/ipfs/QmVnn71xRacG8FFCmFNZ5jDra9SGiQqxxaKjY26GD5qke2,LOOK,Look bro...,6,400674.01549088245,0.0004007844322594287,400674.01549088245,1.477035370949252,BSqMUYb6ePwKsby85zrXaDa4SNf6AgZ9YfA2c4mZpump,157339.5791919227,1740405602,9300.397855856654,973
182.2908623540301,https://arweave.net/4gD5pJQbMxu-J7tGxtoMRpbirRfAhWcjCunHuNmUqFg,HMTR,HampterFi,0,120742.99565725193,1.4888968920486642e-08,120742.99565725193,-1.0778472886685009,7JhmUcZrrfhyt5nTSu3AfsrUq2L9992a7AhwdSDxdoL2,63704.947141526856,1740405602,765.8072505992966,972
,https://i.pinimg.com/736x/38/34/c9/3834c9ea19d9e7be06b59fecffed578c.jpg,DROP,DROP,6,762712497.2327406,0.07627124972327406,762712497.2327406,244.76270508029802,x3ibX28uwqBSq8Ub8MJGW13LVhRsbox7DhNjirTtLrs,479700.73438731924,1740405602,4831.12835402446,971
-27.094813628261598,https://ipfs.io/ipfs/QmU9eZawtMBi54PSohViy223EFw4DffUS51WR2EdV8Aj93,OPXL,OPX LIVE,6,1491757.619000055,0.0014918204943074349,1491757.619000055,-5.079317865123695,8AYpR27W1Y8WrW7yVyxB8AaM8qCTuCwMcB3HFmsFpump,185044.4206872066,1740405602,36459.47361429458,970
,https://ipfs.io/ipfs/QmaM524S9Dt7BAMLc2jbVaTZmhmqQbrMz4NyLbnVmyfcBD,OGDOG,OGDOG,6,4505.0832871764505,4.505083287176451e-06,4505.0832871764505,-5.806469395866743,BLY4ccjH5Zhu5vjhKWer9qDdqfbHMaHpbAopscM6pump,4505.029778849615,1740405602,3501.0431314468015,969
,https://ipfs.io/ipfs/QmRUSGXx2FkKSHDGmNX81LB8aDJxBgCU9LahooEZPVULrT,1DPF,One Dimensional Pump.fun,6,4588.490852868903,4.5884908529098045e-06,4588.490852868903,-6.378375543368869,Fk58Wfg5ud3D6vVPa3Ujxm8qdNZz3ohwS2GGmDTdpump,4585.75265972882,1740405602,22208.083901232687,968
22.382468997345562,https://iili.io/duHf0f1.png,MTAUR,Minotaurus,6,4410391.632742115,4.410486808402159e-05,4410391.632742115,-4.496185513994924,3Mb8sjSm9XSmTNRpNaiCideFVBUAB2cT994Ta1QKKPhG,3579660.398052364,1740405602,11187.319518524684,967
,https://ipfs.io/ipfs/QmfWD7e7iV3hbVBRshFbYPadoHgu1cdrh6VDv5AJWASwae,G3AG,Grok 3 Ai Girlfriend,6,4503.482254026286,4.5034822540262855e-06,4503.482254026286,-7.27488930857171,xK5mVC6Z4cP8s6eSXRyfjzmpkR2TJtN92HJGKQvpump,4502.78593717755,1740405602,21165.246753699055,966
28.33054181850044,https://quicknode.quicknode-ipfs.com/ipfs/QmPhQK6tux76RU87C2wjQwNtigMfmhuSZtuZsEZC4J8s3j,GDOG,Golden Dog,9,706244.9162575894,0.00016888105263237376,706244.9162575894,0.4923568221714134,9YX6TR6X6gCmMhyVyZ43WX5hW6NahNXUqGm8d4wdxQKW,29429.64975155382,1740405602,8015.71776084357,965
2020.835601637231,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/MangoCzJ36AjZyKwVj3VnYU4GTonjfVEnJmvvWaxLac/token.png,MNGO,Mango,6,22803465.78285819,0.02040637574740043,22803465.78285819,1.9863544289774366,MangoCzJ36AjZyKwVj3VnYU4GTonjfVEnJmvvWaxLac,48200.751215718155,1740405602,12170.723014677973,964
-33.85496067423806,https://gateway.irys.xyz/KBV8NAzObC08CTCiYEjkDh_DJd1CKZ9DU5MPO6AuoCY,RNA,RNA,2,129975.06597721996,3.0924832807980276e-12,129975.06597721996,-9.289539767758829,7i5XE77hnx1a6hjWgSuYwmqdmLoDJNTU1rYA6Gqx7QiE,55129.4851348445,1740405602,3985.1875380410547,963
172.240202846702,https://ipfs.io/ipfs/QmbAJSkKewpNoSb5fiL2MrgeN8jpSAyjAzPEmzzdMGPZFe,ERYTH,Erythvian Bond,6,309450.71884603496,0.00030947367264361084,309450.71884603496,54.6073063936884,FiyKLb78nWhH9HeYKjtqgWUgdVK6nJgdpXkBwfxpump,78803.39984437937,1740405602,28388.81764603342,962
-41.25546853852374,https://ipfs.io/ipfs/Qma4GHJzMZRcCzoEu8GAP7Ptt4ePjMkvCiBcMCHLCiURwf,WAWA,WAWA CAT,6,215904.12583228617,0.00021593360913444505,215904.12583228617,0.5415217220332574,8Sk2EJ9oo25b7Mmf4qd5gJw6z3738AXvAbkuSSpQpump,104036.13840681367,1740405602,8347.269370190237,961
-33.45353766199543,https://gateway.pinata.cloud/ipfs/bafkreibbxoyy7p2bb6gjmcetg3b3i22ixf4ymyu5i45hidhfr7w4tcew4u,LGTB,Let's Get This Bread,6,249365.46265396653,2.4937250805998733e-05,249365.46265396653,12.806837397424522,2vFYpCh2yJhHphft1Z4XHdafEhj6XksyhFyH9tvTdKqf,72462.76856139538,1740405602,3172.935575575216,960
4317.59359324046,https://bafkreifcjevtprm2mq4exauqekgp2pyjsjbr4yoqnxjxifif2rkzyajkhi.ipfs.dweb.link/,kyJTO,Kyros Restaked JTO,9,6356560.681715902,2.6698604950692295,6356560.681715902,-3.068820083971976,kyJtowDDACsJDm2jr3VZdpCA6pZcKAaNftQwrJ8KBQP,831963.8774022554,1740405602,37361.605434140525,959
-14.878872917890169,https://i.ibb.co/2vQzqWc/tooker-logo-1.jpg,tooker,tooker kurlson,9,566846.5463861647,0.0005838479828093183,566846.5463861647,-7.741701115214454,9EYScpiysGnEimnQPzazr7Jn9GVfxFYzgTEj85hV9L6U,163374.38291194622,1740405602,4865.583535190559,958
